line_id,entry_id,period,voucher_type,voucher_subtype,line_no,posting_date,created_at,user,account,account_number,account_name,root_type,debit,credit,party_type,party,against,cost_center,remarks,company
3edee35875,ACC-SINV-2025-00017,P1,Sales Invoice,Sales Invoice,3,2025-01-02,2025-01-02 10:09:24.737840,ar.clerk@meridian.example,1310 - Debtors - MTC,1310,Debtors,Asset,9789.1,0.0,Customer,Redcedar Builders,"4130 - Freight Income - MTC,4110 - Sales - MTC,4120 - Service - MTC",,Customer order Redcedar Builders Jan 2025,Meridian Trading Co.
e9564dfa27,ACC-SINV-2025-00017,P1,Sales Invoice,Sales Invoice,4,2025-01-02,2025-01-02 10:09:24.737840,ar.clerk@meridian.example,4120 - Service - MTC,4120,Service,Income,0.0,6697.88,,,Redcedar Builders,Sales Ops - MTC,Customer order Redcedar Builders Jan 2025,Meridian Trading Co.
f2c44d46dc,ACC-SINV-2025-00017,P1,Sales Invoice,Sales Invoice,5,2025-01-02,2025-01-02 10:09:24.737840,ar.clerk@meridian.example,4110 - Sales - MTC,4110,Sales,Income,0.0,1663.92,,,Redcedar Builders,Warehouse - MTC,Customer order Redcedar Builders Jan 2025,Meridian Trading Co.
5ead7b8834,ACC-PINV-2025-00001,P1,Purchase Invoice,Purchase Invoice,1,2025-01-03,2025-01-03 13:44:03.506751,ap.clerk@meridian.example,2110 - Creditors - MTC,2110,Creditors,Liability,0.0,12858.42,Supplier,Orchard Wholesale,5111 - Cost of Goods Sold - MTC,,Orchard Wholesale January 2025 billing,Meridian Trading Co.
cf2e4991dc,ACC-PINV-2025-00001,P1,Purchase Invoice,Purchase Invoice,2,2025-01-03,2025-01-03 13:44:03.506751,ap.clerk@meridian.example,5111 - Cost of Goods Sold - MTC,5111,Cost of Goods Sold,Expense,12858.42,0.0,,,Orchard Wholesale,Warehouse - MTC,Orchard Wholesale January 2025 billing,Meridian Trading Co.
393cbe95d8,ACC-SINV-2025-00013,P1,Sales Invoice,Sales Invoice,1,2025-01-03,2025-01-03 15:16:01.683509,ar.clerk@meridian.example,4110 - Sales - MTC,4110,Sales,Income,0.0,298.48,,,Cascade Outfitters,Sales Ops - MTC,Customer order Cascade Outfitters Jan 2025,Meridian Trading Co.
638ac5fca1,ACC-SINV-2025-00013,P1,Sales Invoice,Sales Invoice,2,2025-01-03,2025-01-03 15:16:01.683509,ar.clerk@meridian.example,1310 - Debtors - MTC,1310,Debtors,Asset,516.98,0.0,Customer,Cascade Outfitters,4110 - Sales - MTC,,Customer order Cascade Outfitters Jan 2025,Meridian Trading Co.
8d8ff8fcf8,ACC-SINV-2025-00013,P1,Sales Invoice,Sales Invoice,3,2025-01-03,2025-01-03 15:16:01.683509,ar.clerk@meridian.example,ST 6% - MTC,,ST 6%,Liability,0.0,29.26,,,Cascade Outfitters,Admin - MTC,Customer order Cascade Outfitters Jan 2025,Meridian Trading Co.
f1dd1b11d6,ACC-SINV-2025-00013,P1,Sales Invoice,Sales Invoice,4,2025-01-03,2025-01-03 15:16:01.683509,ar.clerk@meridian.example,4110 - Sales - MTC,4110,Sales,Income,0.0,189.24,,,Cascade Outfitters,Warehouse - MTC,Customer order Cascade Outfitters Jan 2025,Meridian Trading Co.
0994045820,ACC-SINV-2025-00022,P1,Sales Invoice,Sales Invoice,1,2025-01-03,2025-01-03 12:38:48.557781,ar.clerk@meridian.example,4130 - Freight Income - MTC,4130,Freight Income,Income,0.0,2007.5,,,Ferrous Works,Admin - MTC,Customer order Ferrous Works Jan 2025,Meridian Trading Co.
aa96c0b27a,ACC-SINV-2025-00022,P1,Sales Invoice,Sales Invoice,2,2025-01-03,2025-01-03 12:38:48.557781,ar.clerk@meridian.example,ST 6% - MTC,,ST 6%,Liability,0.0,246.29,,,Ferrous Works,Admin - MTC,Customer order Ferrous Works Jan 2025,Meridian Trading Co.
ca1d90b1cf,ACC-SINV-2025-00022,P1,Sales Invoice,Sales Invoice,3,2025-01-03,2025-01-03 12:38:48.557781,ar.clerk@meridian.example,1310 - Debtors - MTC,1310,Debtors,Asset,4351.12,0.0,Customer,Ferrous Works,"4130 - Freight Income - MTC,4110 - Sales - MTC",,Customer order Ferrous Works Jan 2025,Meridian Trading Co.
e4731ca5bd,ACC-SINV-2025-00022,P1,Sales Invoice,Sales Invoice,4,2025-01-03,2025-01-03 12:38:48.557781,ar.clerk@meridian.example,4110 - Sales - MTC,4110,Sales,Income,0.0,2097.33,,,Ferrous Works,Sales Ops - MTC,Customer order Ferrous Works Jan 2025,Meridian Trading Co.
082df4cf74,ACC-PINV-2025-00002,P1,Purchase Invoice,Purchase Invoice,1,2025-01-06,2025-01-06 10:18:11.683044,ap.clerk@meridian.example,5111 - Cost of Goods Sold - MTC,5111,Cost of Goods Sold,Expense,13818.11,0.0,,,Orchard Wholesale,Warehouse - MTC,Orchard Wholesale January 2025 billing,Meridian Trading Co.
8a91b6223f,ACC-PINV-2025-00002,P1,Purchase Invoice,Purchase Invoice,2,2025-01-06,2025-01-06 10:18:11.683044,ap.clerk@meridian.example,5211 - Print and Stationery - MTC,5211,Print and Stationery,Expense,138.76,0.0,,,Orchard Wholesale,Admin - MTC,Orchard Wholesale January 2025 billing,Meridian Trading Co.
f5c325c14b,ACC-PINV-2025-00002,P1,Purchase Invoice,Purchase Invoice,3,2025-01-06,2025-01-06 10:18:11.683044,ap.clerk@meridian.example,2110 - Creditors - MTC,2110,Creditors,Liability,0.0,13956.87,Supplier,Orchard Wholesale,"5111 - Cost of Goods Sold - MTC,5211 - Print and Stationery - MTC",,Orchard Wholesale January 2025 billing,Meridian Trading Co.
261a07233d,ACC-PINV-2025-00004,P1,Purchase Invoice,Purchase Invoice,1,2025-01-06,2025-01-06 13:06:31.716758,ap.clerk@meridian.example,5111 - Cost of Goods Sold - MTC,5111,Cost of Goods Sold,Expense,7408.87,0.0,,,Orchard Wholesale,Warehouse - MTC,Orchard Wholesale January 2025 billing,Meridian Trading Co.
bdf6f4e474,ACC-PINV-2025-00004,P1,Purchase Invoice,Purchase Invoice,2,2025-01-06,2025-01-06 13:06:31.716758,ap.clerk@meridian.example,2110 - Creditors - MTC,2110,Creditors,Liability,0.0,9145.55,Supplier,Orchard Wholesale,"5111 - Cost of Goods Sold - MTC,5216 - Travel Expenses - MTC",,Orchard Wholesale January 2025 billing,Meridian Trading Co.
fff6dc2b17,ACC-PINV-2025-00004,P1,Purchase Invoice,Purchase Invoice,3,2025-01-06,2025-01-06 13:06:31.716758,ap.clerk@meridian.example,5216 - Travel Expenses - MTC,5216,Travel Expenses,Expense,1736.68,0.0,,,Orchard Wholesale,Admin - MTC,Orchard Wholesale January 2025 billing,Meridian Trading Co.
100e3be500,ACC-PINV-2025-00005,P1,Purchase Invoice,Purchase Invoice,1,2025-01-06,2025-01-06 15:50:51.462630,ap.clerk@meridian.example,2110 - Creditors - MTC,2110,Creditors,Liability,0.0,5884.13,Supplier,Orchard Wholesale,5111 - Cost of Goods Sold - MTC,,Orchard Wholesale January 2025 billing,Meridian Trading Co.
219852c891,ACC-PINV-2025-00005,P1,Purchase Invoice,Purchase Invoice,2,2025-01-06,2025-01-06 15:50:51.462630,ap.clerk@meridian.example,5111 - Cost of Goods Sold - MTC,5111,Cost of Goods Sold,Expense,5884.13,0.0,,,Orchard Wholesale,Warehouse - MTC,Orchard Wholesale January 2025 billing,Meridian Trading Co.
0aa83656d2,ACC-PINV-2025-00020,P1,Purchase Invoice,Purchase Invoice,1,2025-01-06,2025-01-06 14:25:23.846584,ap.clerk@meridian.example,2110 - Creditors - MTC,2110,Creditors,Liability,0.0,17492.18,Supplier,Stateside Insurance,5228 - Insurance Expense - MTC,,Stateside Insurance January 2025 billing,Meridian Trading Co.
5747ea1c85,ACC-PINV-2025-00020,P1,Purchase Invoice,Purchase Invoice,2,2025-01-06,2025-01-06 14:25:23.846584,ap.clerk@meridian.example,5228 - Insurance Expense - MTC,5228,Insurance Expense,Expense,17492.18,0.0,,,Stateside Insurance,Admin - MTC,Stateside Insurance January 2025 billing,Meridian Trading Co.
2bd5ca270f,ACC-SINV-2025-00007,P1,Sales Invoice,Sales Invoice,1,2025-01-06,2025-01-06 15:33:17.152289,ar.clerk@meridian.example,4110 - Sales - MTC,4110,Sales,Income,0.0,87.42,,,Ovation Events,Warehouse - MTC,Customer order Ovation Events Jan 2025,Meridian Trading Co.
c35fe2c77e,ACC-SINV-2025-00007,P1,Sales Invoice,Sales Invoice,2,2025-01-06,2025-01-06 15:33:17.152289,ar.clerk@meridian.example,1310 - Debtors - MTC,1310,Debtors,Asset,87.42,0.0,Customer,Ovation Events,4110 - Sales - MTC,,Customer order Ovation Events Jan 2025,Meridian Trading Co.
4cd11e64cb,ACC-PINV-2025-00009,P1,Purchase Invoice,Purchase Invoice,1,2025-01-07,2025-01-07 15:14:08.618745,ap.clerk@meridian.example,5111 - Cost of Goods Sold - MTC,5111,Cost of Goods Sold,Expense,7624.91,0.0,,,Vulcan Materials Co,Warehouse - MTC,Vulcan Materials Co January 2025 billing,Meridian Trading Co.
c93b90b96e,ACC-PINV-2025-00009,P1,Purchase Invoice,Purchase Invoice,2,2025-01-07,2025-01-07 15:14:08.618745,ap.clerk@meridian.example,2110 - Creditors - MTC,2110,Creditors,Liability,0.0,7624.91,Supplier,Vulcan Materials Co,5111 - Cost of Goods Sold - MTC,,Vulcan Materials Co January 2025 billing,Meridian Trading Co.
0322936922,ACC-SINV-2025-00029,P1,Sales Invoice,Sales Invoice,1,2025-01-07,2025-01-07 15:55:09.109770,ar.clerk@meridian.example,1310 - Debtors - MTC,1310,Debtors,Asset,4053.09,0.0,Customer,Cascade Outfitters,4110 - Sales - MTC,,Customer order Cascade Outfitters Jan 2025,Meridian Trading Co.
12a5117b31,ACC-SINV-2025-00029,P1,Sales Invoice,Sales Invoice,2,2025-01-07,2025-01-07 15:55:09.109770,ar.clerk@meridian.example,ST 6% - MTC,,ST 6%,Liability,0.0,229.42,,,Cascade Outfitters,Admin - MTC,Customer order Cascade Outfitters Jan 2025,Meridian Trading Co.
ceefbc8178,ACC-SINV-2025-00029,P1,Sales Invoice,Sales Invoice,3,2025-01-07,2025-01-07 15:55:09.109770,ar.clerk@meridian.example,4110 - Sales - MTC,4110,Sales,Income,0.0,348.95,,,Cascade Outfitters,Warehouse - MTC,Customer order Cascade Outfitters Jan 2025,Meridian Trading Co.
f061cd0bd3,ACC-SINV-2025-00029,P1,Sales Invoice,Sales Invoice,4,2025-01-07,2025-01-07 15:55:09.109770,ar.clerk@meridian.example,4110 - Sales - MTC,4110,Sales,Income,0.0,3474.72,,,Cascade Outfitters,Sales Ops - MTC,Customer order Cascade Outfitters Jan 2025,Meridian Trading Co.
3b01fd51bc,ACC-PINV-2025-00007,P1,Purchase Invoice,Purchase Invoice,1,2025-01-08,2025-01-08 12:20:33.525431,ap.clerk@meridian.example,2110 - Creditors - MTC,2110,Creditors,Liability,0.0,13737.29,Supplier,Orchard Wholesale,5111 - Cost of Goods Sold - MTC,,Orchard Wholesale January 2025 billing,Meridian Trading Co.
500b6a2b54,ACC-PINV-2025-00007,P1,Purchase Invoice,Purchase Invoice,2,2025-01-08,2025-01-08 12:20:33.525431,ap.clerk@meridian.example,5111 - Cost of Goods Sold - MTC,5111,Cost of Goods Sold,Expense,13737.29,0.0,,,Orchard Wholesale,Warehouse - MTC,Orchard Wholesale January 2025 billing,Meridian Trading Co.
4b6f47044c,ACC-PINV-2025-00026,P1,Purchase Invoice,Purchase Invoice,1,2025-01-08,2025-01-08 10:18:01.975204,ap.clerk@meridian.example,5207 - Marketing Expenses - MTC,5207,Marketing Expenses,Expense,6765.64,0.0,,,Quill Marketing Group,Admin - MTC,Quill Marketing Group January 2025 billing,Meridian Trading Co.
7ff92c75cf,ACC-PINV-2025-00026,P1,Purchase Invoice,Purchase Invoice,2,2025-01-08,2025-01-08 10:18:01.975204,ap.clerk@meridian.example,2110 - Creditors - MTC,2110,Creditors,Liability,0.0,6765.64,Supplier,Quill Marketing Group,5207 - Marketing Expenses - MTC,,Quill Marketing Group January 2025 billing,Meridian Trading Co.
2508cb470b,ACC-SINV-2025-00041,P1,Sales Invoice,Sales Invoice,1,2025-01-08,2025-01-08 12:59:44.107174,ar.clerk@meridian.example,1310 - Debtors - MTC,1310,Debtors,Asset,975.94,0.0,Customer,Redcedar Builders,4110 - Sales - MTC,,Customer order Redcedar Builders Jan 2025,Meridian Trading Co.
4c1be4aa53,ACC-SINV-2025-00041,P1,Sales Invoice,Sales Invoice,2,2025-01-08,2025-01-08 12:59:44.107174,ar.clerk@meridian.example,4110 - Sales - MTC,4110,Sales,Income,0.0,920.7,,,Redcedar Builders,Sales Ops - MTC,Customer order Redcedar Builders Jan 2025,Meridian Trading Co.
a06a6dd837,ACC-SINV-2025-00041,P1,Sales Invoice,Sales Invoice,3,2025-01-08,2025-01-08 12:59:44.107174,ar.clerk@meridian.example,ST 6% - MTC,,ST 6%,Liability,0.0,55.24,,,Redcedar Builders,Admin - MTC,Customer order Redcedar Builders Jan 2025,Meridian Trading Co.
335b8957c3,ACC-SINV-2025-00050,P1,Sales Invoice,Sales Invoice,1,2025-01-08,2025-01-08 14:01:25.429140,ar.clerk@meridian.example,4110 - Sales - MTC,4110,Sales,Income,0.0,1181.45,,,Summit Rentals,Sales Ops - MTC,Customer order Summit Rentals Jan 2025,Meridian Trading Co.
4a9b54728a,ACC-SINV-2025-00050,P1,Sales Invoice,Sales Invoice,2,2025-01-08,2025-01-08 14:01:25.429140,ar.clerk@meridian.example,4110 - Sales - MTC,4110,Sales,Income,0.0,272.4,,,Summit Rentals,Warehouse - MTC,Customer order Summit Rentals Jan 2025,Meridian Trading Co.
c308207b54,ACC-SINV-2025-00050,P1,Sales Invoice,Sales Invoice,3,2025-01-08,2025-01-08 14:01:25.429140,ar.clerk@meridian.example,ST 6% - MTC,,ST 6%,Liability,0.0,87.23,,,Summit Rentals,Admin - MTC,Customer order Summit Rentals Jan 2025,Meridian Trading Co.
d931976ba4,ACC-SINV-2025-00050,P1,Sales Invoice,Sales Invoice,4,2025-01-08,2025-01-08 14:01:25.429140,ar.clerk@meridian.example,1310 - Debtors - MTC,1310,Debtors,Asset,1541.08,0.0,Customer,Summit Rentals,4110 - Sales - MTC,,Customer order Summit Rentals Jan 2025,Meridian Trading Co.
6173839e66,ACC-PINV-2025-00031,P1,Purchase Invoice,Purchase Invoice,1,2025-01-09,2025-01-09 18:22:19.178771,ap.clerk@meridian.example,5208 - Office Maintenance Expenses - MTC,5208,Office Maintenance Expenses,Expense,6818.69,0.0,,,Granite Janitorial,Admin - MTC,Granite Janitorial January 2025 billing,Meridian Trading Co.
bb4f5babf8,ACC-PINV-2025-00031,P1,Purchase Invoice,Purchase Invoice,2,2025-01-09,2025-01-09 18:22:19.178771,ap.clerk@meridian.example,2110 - Creditors - MTC,2110,Creditors,Liability,0.0,6818.69,Supplier,Granite Janitorial,5208 - Office Maintenance Expenses - MTC,,Granite Janitorial January 2025 billing,Meridian Trading Co.
131f68377a,ACC-SINV-2025-00016,P1,Sales Invoice,Sales Invoice,1,2025-01-09,2025-01-09 12:05:16.814361,ar.clerk@meridian.example,4110 - Sales - MTC,4110,Sales,Income,0.0,186.45,,,Ovation Events,Warehouse - MTC,Customer order Ovation Events Jan 2025,Meridian Trading Co.
44ee63d3cf,ACC-SINV-2025-00016,P1,Sales Invoice,Sales Invoice,2,2025-01-09,2025-01-09 12:05:16.814361,ar.clerk@meridian.example,4110 - Sales - MTC,4110,Sales,Income,0.0,36.3,,,Ovation Events,Sales Ops - MTC,Customer order Ovation Events Jan 2025,Meridian Trading Co.
761eba5cdb,ACC-SINV-2025-00016,P1,Sales Invoice,Sales Invoice,3,2025-01-09,2025-01-09 12:05:16.814361,ar.clerk@meridian.example,4120 - Service - MTC,4120,Service,Income,0.0,20350.44,,,Ovation Events,Admin - MTC,Customer order Ovation Events Jan 2025,Meridian Trading Co.
a483db98dc,ACC-SINV-2025-00016,P1,Sales Invoice,Sales Invoice,4,2025-01-09,2025-01-09 12:05:16.814361,ar.clerk@meridian.example,1310 - Debtors - MTC,1310,Debtors,Asset,20573.19,0.0,Customer,Ovation Events,"4110 - Sales - MTC,4120 - Service - MTC",,Customer order Ovation Events Jan 2025,Meridian Trading Co.
c5b62149da,ACC-SINV-2025-00031,P1,Sales Invoice,Sales Invoice,1,2025-01-09,2025-01-09 17:34:42.499664,ar.clerk@meridian.example,ST 6% - MTC,,ST 6%,Liability,0.0,23.93,,,Cascade Outfitters,Admin - MTC,Customer order Cascade Outfitters Jan 2025,Meridian Trading Co.
c94f5a305a,ACC-SINV-2025-00031,P1,Sales Invoice,Sales Invoice,2,2025-01-09,2025-01-09 17:34:42.499664,ar.clerk@meridian.example,1310 - Debtors - MTC,1310,Debtors,Asset,422.79,0.0,Customer,Cascade Outfitters,4110 - Sales - MTC,,Customer order Cascade Outfitters Jan 2025,Meridian Trading Co.
e7363fb674,ACC-SINV-2025-00031,P1,Sales Invoice,Sales Invoice,3,2025-01-09,2025-01-09 17:34:42.499664,ar.clerk@meridian.example,4110 - Sales - MTC,4110,Sales,Income,0.0,398.86,,,Cascade Outfitters,Warehouse - MTC,Customer order Cascade Outfitters Jan 2025,Meridian Trading Co.
369b1411c9,ACC-SINV-2025-00036,P1,Sales Invoice,Sales Invoice,1,2025-01-09,2025-01-09 12:03:17.776894,ar.clerk@meridian.example,ST 6% - MTC,,ST 6%,Liability,0.0,290.52,,,Bluepine Hardware,Admin - MTC,Customer order Bluepine Hardware Jan 2025,Meridian Trading Co.
69dcb67734,ACC-SINV-2025-00036,P1,Sales Invoice,Sales Invoice,2,2025-01-09,2025-01-09 12:03:17.776894,ar.clerk@meridian.example,4110 - Sales - MTC,4110,Sales,Income,0.0,697.27,,,Bluepine Hardware,Warehouse - MTC,Customer order Bluepine Hardware Jan 2025,Meridian Trading Co.
85995661ff,ACC-SINV-2025-00036,P1,Sales Invoice,Sales Invoice,3,2025-01-09,2025-01-09 12:03:17.776894,ar.clerk@meridian.example,4110 - Sales - MTC,4110,Sales,Income,0.0,1095.36,,,Bluepine Hardware,Sales Ops - MTC,Customer order Bluepine Hardware Jan 2025,Meridian Trading Co.
8fff15a391,ACC-SINV-2025-00036,P1,Sales Invoice,Sales Invoice,4,2025-01-09,2025-01-09 12:03:17.776894,ar.clerk@meridian.example,4120 - Service - MTC,4120,Service,Income,0.0,3049.38,,,Bluepine Hardware,Sales Ops - MTC,Customer order Bluepine Hardware Jan 2025,Meridian Trading Co.
c8457cc18f,ACC-SINV-2025-00036,P1,Sales Invoice,Sales Invoice,5,2025-01-09,2025-01-09 12:03:17.776894,ar.clerk@meridian.example,1310 - Debtors - MTC,1310,Debtors,Asset,5132.53,0.0,Customer,Bluepine Hardware,"4110 - Sales - MTC,4120 - Service - MTC",,Customer order Bluepine Hardware Jan 2025,Meridian Trading Co.
0bc444fd7b,ACC-SINV-2025-00039,P1,Sales Invoice,Sales Invoice,1,2025-01-09,2025-01-09 12:09:36.295609,ar.clerk@meridian.example,4130 - Freight Income - MTC,4130,Freight Income,Income,0.0,1103.16,,,Bluepine Hardware,Admin - MTC,Customer order Bluepine Hardware Jan 2025,Meridian Trading Co.
1e0e62a62e,ACC-SINV-2025-00039,P1,Sales Invoice,Sales Invoice,2,2025-01-09,2025-01-09 12:09:36.295609,ar.clerk@meridian.example,4110 - Sales - MTC,4110,Sales,Income,0.0,325.67,,,Bluepine Hardware,Warehouse - MTC,Customer order Bluepine Hardware Jan 2025,Meridian Trading Co.
66db7642da,ACC-SINV-2025-00039,P1,Sales Invoice,Sales Invoice,3,2025-01-09,2025-01-09 12:09:36.295609,ar.clerk@meridian.example,ST 6% - MTC,,ST 6%,Liability,0.0,85.73,,,Bluepine Hardware,Admin - MTC,Customer order Bluepine Hardware Jan 2025,Meridian Trading Co.
bec0b31113,ACC-SINV-2025-00039,P1,Sales Invoice,Sales Invoice,4,2025-01-09,2025-01-09 12:09:36.295609,ar.clerk@meridian.example,1310 - Debtors - MTC,1310,Debtors,Asset,1514.56,0.0,Customer,Bluepine Hardware,"4130 - Freight Income - MTC,4110 - Sales - MTC",,Customer order Bluepine Hardware Jan 2025,Meridian Trading Co.
23bc43c8f2,ACC-SINV-2025-00044,P1,Sales Invoice,Sales Invoice,1,2025-01-09,2025-01-09 12:59:59.092084,ar.clerk@meridian.example,4110 - Sales - MTC,4110,Sales,Income,0.0,1227.44,,,Redcedar Builders,Sales Ops - MTC,Customer order Redcedar Builders Jan 2025,Meridian Trading Co.
99e45802a5,ACC-SINV-2025-00044,P1,Sales Invoice,Sales Invoice,2,2025-01-09,2025-01-09 12:59:59.092084,ar.clerk@meridian.example,4110 - Sales - MTC,4110,Sales,Income,0.0,1172.9,,,Redcedar Builders,Warehouse - MTC,Customer order Redcedar Builders Jan 2025,Meridian Trading Co.
9b3525a5c5,ACC-SINV-2025-00044,P1,Sales Invoice,Sales Invoice,3,2025-01-09,2025-01-09 12:59:59.092084,ar.clerk@meridian.example,ST 6% - MTC,,ST 6%,Liability,0.0,864.9,,,Redcedar Builders,Admin - MTC,Customer order Redcedar Builders Jan 2025,Meridian Trading Co.
d4fe40b87f,ACC-SINV-2025-00044,P1,Sales Invoice,Sales Invoice,4,2025-01-09,2025-01-09 12:59:59.092084,ar.clerk@meridian.example,1310 - Debtors - MTC,1310,Debtors,Asset,15279.96,0.0,Customer,Redcedar Builders,"4120 - Service - MTC,4110 - Sales - MTC",,Customer order Redcedar Builders Jan 2025,Meridian Trading Co.
e6925c2318,ACC-SINV-2025-00044,P1,Sales Invoice,Sales Invoice,5,2025-01-09,2025-01-09 12:59:59.092084,ar.clerk@meridian.example,4120 - Service - MTC,4120,Service,Income,0.0,12014.72,,,Redcedar Builders,Warehouse - MTC,Customer order Redcedar Builders Jan 2025,Meridian Trading Co.
62a8c41d3a,ACC-PINV-2025-00003,P1,Purchase Invoice,Purchase Invoice,1,2025-01-10,2025-01-10 16:29:18.793443,ap.clerk@meridian.example,2110 - Creditors - MTC,2110,Creditors,Liability,0.0,3825.19,Supplier,Orchard Wholesale,5111 - Cost of Goods Sold - MTC,,Orchard Wholesale January 2025 billing,Meridian Trading Co.
7125b04c85,ACC-PINV-2025-00003,P1,Purchase Invoice,Purchase Invoice,2,2025-01-10,2025-01-10 16:29:18.793443,ap.clerk@meridian.example,5111 - Cost of Goods Sold - MTC,5111,Cost of Goods Sold,Expense,3825.19,0.0,,,Orchard Wholesale,Warehouse - MTC,Orchard Wholesale January 2025 billing,Meridian Trading Co.
4c04d5b1df,ACC-PINV-2025-00022,P1,Purchase Invoice,Purchase Invoice,1,2025-01-10,2025-01-10 11:03:11.383487,ap.clerk@meridian.example,2110 - Creditors - MTC,2110,Creditors,Liability,0.0,15951.77,Supplier,Metro Utilities,5217 - Utility Expenses - MTC,,Metro Utilities January 2025 billing,Meridian Trading Co.
73b89ac0ae,ACC-PINV-2025-00022,P1,Purchase Invoice,Purchase Invoice,2,2025-01-10,2025-01-10 11:03:11.383487,ap.clerk@meridian.example,5217 - Utility Expenses - MTC,5217,Utility Expenses,Expense,15951.77,0.0,,,Metro Utilities,Admin - MTC,Metro Utilities January 2025 billing,Meridian Trading Co.
415acc97ad,ACC-SINV-2025-00004,P1,Sales Invoice,Sales Invoice,1,2025-01-10,2025-01-10 08:00:49.806149,ar.clerk@meridian.example,4110 - Sales - MTC,4110,Sales,Income,0.0,807.21,,,Kestrel Foods,Warehouse - MTC,Customer order Kestrel Foods Jan 2025,Meridian Trading Co.
